galaxy,r_kpc,x,y,Rd_kpc
IC4202,0.77,0.1436810856658185,-0.3879615118316982,5.3590909090909085
IC4202,1.59,0.2966921119592876,-0.2553217442003308,5.3590909090909085
IC4202,2.36,0.44037319762510607,-0.08424600288064561,5.3590909090909085
IC4202,3.13,0.5840542832909246,0.05229728155941812,5.3590909090909085
IC4202,3.95,0.7370653095843936,0.13358376641125758,5.3590909090909085
IC4202,4.73,0.8826123833757423,0.1321784766851373,5.3590909090909085
IC4202,5.5,1.0262934690415608,0.12350142086945555,5.3590909090909085
IC4202,6.27,1.1699745547073792,0.1328152673460258,5.3590909090909085
IC4202,7.08,1.3211195928753183,0.1348204696991039,5.3590909090909085
IC4202,7.86,1.466666666666667,0.11954885320276103,5.3590909090909085
IC4202,8.66,1.6159457167090756,0.11816980162183469,5.3590909090909085
IC4202,9.45,1.7633587786259544,0.1037268111356941,5.3590909090909085
IC4202,10.24,1.910771840542833,0.08085029056279369,5.3590909090909085
IC4202,11.02,2.056318914334182,0.07498178585823477,5.3590909090909085
IC4202,11.79,2.2,0.06961585642818384,5.3590909090909085
IC4202,12.47,2.3268871925360477,0.0741817415759299,5.3590909090909085
IC4202,13.34,2.4892281594571672,0.064282598476729,5.3590909090909085
IC4202,14.11,2.6329092451229856,0.0724779166867874,5.3590909090909085
IC4202,14.59,2.7224766751484313,0.061788390252630485,5.3590909090909085
IC4202,14.98,2.7952502120441056,0.06295868269868707,5.3590909090909085
IC4202,15.75,2.938931297709924,0.06538775709429578,5.3590909090909085
IC4202,16.52,3.0826123833757424,0.06473362618671209,5.3590909090909085
IC4202,17.1,3.190839694656489,0.06076458683615982,5.3590909090909085
IC4202,17.88,3.3363867684478374,0.055108476324443836,5.3590909090909085
IC4202,18.65,3.480067854113656,0.05961470397631541,5.3590909090909085
IC4202,19.62,3.661068702290077,0.047620436573226135,5.3590909090909085
IC4202,20.78,3.8775233248515697,0.05807371661966813,5.3590909090909085
IC4202,22.13,4.1294317217981344,0.046051596231746095,5.3590909090909085
IC4202,23.0,4.291772688719254,0.051449334174137336,5.3590909090909085
IC4202,23.58,4.4,0.049312450631970955,5.3590909090909085
IC4202,25.03,4.670568278201867,0.044972468770080785,5.3590909090909085
IC4202,25.9,4.832909245122986,0.05017571371292089,5.3590909090909085
NGC0024,0.21,0.189344262295082,0.0014552669363714964,1.109090909090909
NGC0024,0.32,0.2885245901639345,0.04194535231270929,1.109090909090909
NGC0024,0.43,0.38770491803278695,0.043301559005589574,1.109090909090909
NGC0024,0.54,0.48688524590163945,0.07011427235000033,1.109090909090909
NGC0024,0.64,0.577049180327869,0.1154547214998926,1.109090909090909
NGC0024,0.74,0.6672131147540985,0.121125321009657,1.109090909090909
NGC0024,0.85,0.766393442622951,0.1409762305446056,1.109090909090909
NGC0024,0.96,0.8655737704918034,0.1381700447923851,1.109090909090909
NGC0024,1.07,0.964754098360656,0.12337273622136384,1.109090909090909
NGC0024,1.17,1.0549180327868855,0.11665099796593013,1.109090909090909
NGC0024,1.28,1.154098360655738,0.10900553713827371,1.109090909090909
NGC0024,1.38,1.2442622950819673,0.10616261765243694,1.109090909090909
NGC0024,1.48,1.334426229508197,0.10174846636560614,1.109090909090909
NGC0024,1.59,1.4336065573770496,0.10433127735235853,1.109090909090909
NGC0024,1.7,1.532786885245902,0.09411841122907223,1.109090909090909
NGC0024,1.8,1.6229508196721314,0.09547393620280632,1.109090909090909
NGC0024,1.91,1.7221311475409837,0.09196049073507935,1.109090909090909
NGC0024,2.02,1.8213114754098363,0.10040502197995929,1.109090909090909
NGC0024,2.13,1.9204918032786888,0.0906429955108229,1.109090909090909
NGC0024,2.23,2.0106557377049183,0.09549467465454207,1.109090909090909
NGC0024,2.34,2.109836065573771,0.09299702748481942,1.109090909090909
NGC0024,2.44,2.2,0.09733207877806523,1.109090909090909
NGC0024,2.54,2.29016393442623,0.09327068861497746,1.109090909090909
NGC0024,2.65,2.3893442622950825,0.08647557055211354,1.109090909090909
NGC0024,2.76,2.4885245901639346,0.08553390579546154,1.109090909090909
