gkey,galaxy_h,D_Mpc_h,h_arcsec,hz_e_hi_arcsec,hz_e_lo_arcsec,h_kpc,h_kpc_err_hi,h_kpc_err_lo,h_outlier_reason
NGC4050,NGC4050,33.722,7.473,22.418,1.495,1.2217511744600391,3.6650900346641455,0.24441563037839673,huge_err_hi
NGC4064,NGC4064,10.633,6.078,18.233,1.216,0.31332205657770346,0.9399146195428212,0.06268503139165636,huge_err_hi
NGC4117,NGC4117,20.2,4.037,12.111,0.807,0.39535258041839383,1.1860577412551816,0.07903134317504182,huge_err_hi
NGC4138,NGC4138,15.567,4.011,12.032,0.802,0.30271367900516327,0.9080655661406444,0.06052764162606356,huge_err_hi
NGC4151,NGC4151,9.898,6.958,20.875,1.392,0.3338922454124549,1.001724723050445,0.06679764380772307,huge_err_hi
NGC4158,NGC4158,56.76,2.133,6.398,0.427,0.5869589120791215,1.7606015562504544,0.11750185441058833,huge_err_hi
NGC4163,NGC4163,2.923,5.02,15.06,1.004,0.07113887474850314,0.21341662424550945,0.01422777494970063,huge_err_hi
NGC4193,NGC4193,37.354,3.787,11.361,0.757,0.6858148401328388,2.0574445203985166,0.13709052917363584,huge_err_hi
NGC4203,NGC4203,14.94,7.077,21.232,1.415,0.5125948658279398,1.5378570285797395,0.10249000072721984,huge_err_hi
NGC4245,NGC4245,9.7,6.062,18.185,1.212,0.28507696409958067,0.8551838654158485,0.05699658206675878,huge_err_hi
NGC4250,NGC4250,28.347,5.649,16.946,1.13,0.7763420987564541,2.328888866264272,0.15529590575230892,huge_err_hi
NGC4262,NGC4262,20.51,3.095,9.285,0.619,0.3077519210724069,0.9232557632172206,0.06155038421448137,huge_err_hi
NGC4267,NGC4267,16.73,7.022,21.066,1.404,0.5695491721814171,1.7086475165442514,0.11387739073521926,huge_err_hi
NGC4268,NGC4268,29.6,4.071,12.212,0.814,0.5842076939858919,1.7524795772428672,0.11681283785421666,huge_err_hi
NGC4286,NGC4286,8.944,5.152,15.455,1.03,0.22339945216105495,0.6701549947882578,0.044662545754248176,huge_err_hi
NGC4293,NGC4293,14.32,12.508,37.523,2.502,0.8683710760429544,2.6050438028749427,0.17370198531015926,huge_err_hi
NGC4309,NGC4309,14.875,4.766,14.297,0.953,0.34370470026422323,1.031041984825346,0.06872651685937993,huge_err_hi
NGC4310,NGC4310,9.7,3.747,11.241,0.749,0.1762097302014399,0.5286291906043197,0.035223135287130634,huge_err_hi
NGC4314,NGC4314,9.7,10.928,32.785,2.186,0.5139097762586964,1.5417763556589823,0.10280076600489661,huge_err_hi
NGC4319,NGC4319,28.2,6.239,18.717,1.248,0.8529794196785688,2.5589382590357066,0.17062322740164354,huge_err_hi
NGC4324,NGC4324,31.633,3.699,11.096,0.74,0.5672822194749473,1.7016932974571546,0.1134871160885269,huge_err_hi
NGC4336,NGC4336,13.917,4.264,12.793,0.853,0.2876982910333794,0.8631623445567596,0.057553152498000144,huge_err_hi
NGC4344,NGC4344,15.917,2.891,8.674,0.578,0.22309188180253559,0.6693528131287422,0.04460294281628003,huge_err_hi
NGC4355,NGC4355,25.35,3.105,9.316,0.621,0.3816049741836957,1.1449378227038034,0.07632099483673914,huge_err_hi
NGC4369,NGC4369,21.6,3.625,10.876,0.725,0.3796087557268562,1.1389309868373207,0.07592175114537124,huge_err_hi
NGC4370,NGC4370,31.7,2.927,8.781,0.585,0.4498383147892274,1.3495149443676824,0.08990618864082611,huge_err_hi
NGC4371,NGC4371,16.8,10.193,30.58,2.039,0.8302058032143117,2.4906988582648535,0.1660737400916297,huge_err_hi
NGC4378,NGC4378,27.75,9.471,28.412,1.894,1.2741873318304124,3.822427459821104,0.25481055923205587,huge_err_hi
NGC4394,NGC4394,16.8,9.025,27.075,1.805,0.7350738128136136,2.2052214384408404,0.1470147625627227,huge_err_hi
NGC4405,NGC4405,24.181,3.143,9.429,0.629,0.36846233243642884,1.1053869973092867,0.07373935956172885,huge_err_hi
NGC4424,NGC4424,15.95,7.179,21.537,1.436,0.5551356264998909,1.6654068794996728,0.11104259084187816,huge_err_hi
NGC4450,NGC4450,16.542,9.797,29.39,1.959,0.7856978837902698,2.357013453567013,0.15710749763653553,huge_err_hi
NGC4454,NGC4454,35.7,4.854,14.562,0.971,0.8401221729328777,2.520366518798633,0.16805905025089085,huge_err_hi
NGC4457,NGC4457,17.4,11.32,33.961,2.264,0.9549269144062251,2.8648651007199475,0.190985382881245,huge_err_hi
NGC4462,NGC4462,26.2,5.048,15.143,1.01,0.6412023367997479,1.9234799893341092,0.12829127578600347,huge_err_hi
NGC4489,NGC4489,16.16,3.683,11.049,0.737,0.28854764501975616,0.8656429350592685,0.05774086733086079,huge_err_hi
NGC4491,NGC4491,6.903,4.546,13.638,0.909,0.1521394225874482,0.45641826776234456,0.030421191186095556,huge_err_hi
NGC4503,NGC4503,17.033,6.45,19.35,1.29,0.5326296269362228,1.5978888808086684,0.10652592538724456,huge_err_hi
NGC4528,NGC4528,17.556,2.094,6.283,0.419,0.17822831794051341,0.5347700676314451,0.03566268635008363,huge_err_hi
NGC4531,NGC4531,15.2,6.094,18.281,1.219,0.4490766732116452,1.3471563280246284,0.08983007296439047,huge_err_hi
NGC4548,NGC4548,16.196,13.298,39.895,2.66,1.044163614767411,3.1325693646522685,0.20886413109349627,huge_err_hi
NGC4579,NGC4579,19.583,11.315,33.946,2.263,1.0742571206942526,3.2228663030567475,0.2148514241388505,huge_err_hi
NGC4580,NGC4580,18.575,4.097,12.291,0.819,0.36895147019610697,1.106854410588321,0.07375427241655151,huge_err_hi
NGC4591,NGC4591,48.067,2.179,6.537,0.436,0.5077836424017647,1.523350927205294,0.10160333551499284,huge_err_hi
NGC4593,NGC4593,33.933,9.215,27.646,1.843,1.5159750563595376,4.548089680750491,0.3031950112719075,huge_err_hi
NGC4596,NGC4596,16.8,11.125,33.374,2.225,0.906115918842266,2.7182663079048797,0.1812231837684532,huge_err_hi
NGC4606,NGC4606,17.08,6.177,18.532,1.235,0.5114932732164933,1.5345626257484304,0.10226553220371852,huge_err_hi
NGC4641,NGC4641,27.944,6.68,20.041,1.336,0.9049810680435363,2.7150786803384,0.18099621360870727,huge_err_hi
NGC4643,NGC4643,25.7,9.719,29.158,1.944,1.2109582333406055,3.632999297020823,0.24221656606792233,huge_err_hi
NGC4659,NGC4659,3.708,8.088,24.263,1.618,0.14539696022107482,0.43617290378881535,0.02908658279397862,huge_err_hi
NGC4691,NGC4691,22.5,7.041,21.124,1.408,0.7680532324921825,2.3042687804523307,0.15358882990327977,huge_err_hi
NGC4694,NGC4694,15.302,8.594,25.781,1.719,0.6375555135384093,1.9125923544954306,0.12752593993164135,huge_err_hi
NGC4699,NGC4699,24.7,15.246,45.739,3.049,1.8256912224565487,5.477193416236394,0.3651142947179599,huge_err_hi
NGC4725,NGC4725,13.637,17.647,52.94,3.529,1.1667133978134923,3.5000740794608878,0.23331623397086274,huge_err_hi
NGC4733,NGC4733,16.933,4.429,13.287,0.886,0.36359177271955984,1.0907753181586795,0.07273477322861369,huge_err_hi
NGC4750,NGC4750,26.1,6.401,19.202,1.28,0.8099585484692021,2.429749109155698,0.16196640244345864,huge_err_hi
NGC4754,NGC4754,17.264,10.175,30.525,2.035,0.8516287300317554,2.554886190095266,0.1703257460063511,huge_err_hi
NGC4772,NGC4772,30.475,8.734,26.203,1.747,1.290420817879912,3.871410200470269,0.25811371294208907,huge_err_hi
NGC4791,NGC4791,35.125,1.171,3.512,0.234,0.19941034591423656,0.5980607470971808,0.039848011053741555,huge_err_hi
NGC4795,NGC4795,39.056,5.032,15.097,1.006,0.9528024240661286,2.858596620851817,0.1904847453518532,huge_err_hi
NGC4800,NGC4800,22.5,2.942,8.827,0.588,0.32092211475529053,0.9628754272416552,0.06414078976074467,huge_err_hi
NGC4826,NGC4826,5.341,13.752,41.257,2.75,0.35609256054105154,1.0683035754975394,0.07120815455845635,huge_err_hi
NGC4880,NGC4880,15.7,6.393,19.179,1.279,0.48660751945313063,1.4598225583593918,0.09735195016120038,huge_err_hi
NGC4941,NGC4941,18.22,9.534,28.601,1.907,0.8421665333430297,2.5264112670593657,0.16845097326255062,huge_err_hi
NGC4984,NGC4984,21.3,12.327,36.982,2.465,1.2729503308850267,3.818954257872155,0.25454876009017524,huge_err_hi
NGC5101,NGC5101,27.4,13.15,39.45,2.63,1.746830533536955,5.240491600610865,0.34936610670739093,huge_err_hi
NGC5134,NGC5134,10.889,5.465,16.394,1.093,0.28850452088332973,0.865460771337842,0.05770090417666594,huge_err_hi
NGC5218,NGC5218,51.42,2.834,8.503,0.567,0.7064905825030907,2.1197210384699297,0.14134797469274962,huge_err_hi
NGC5273,NGC5273,15.96,4.489,13.467,0.898,0.34734172060213797,1.042025161806414,0.0694838193585921,huge_err_hi
NGC5311,NGC5311,36.736,7.798,23.394,1.56,1.3888314934671417,4.166494480401425,0.2778375390880663,huge_err_hi
NGC5334,NGC5334,32.62,7.991,23.972,1.598,1.2637452791312145,3.791077691319419,0.25271742661139796,huge_err_hi
NGC5337,NGC5337,52.2,2.648,7.945,0.53,0.6701359901098102,2.0106610428332483,0.1341284270234892,huge_err_hi
NGC5338,NGC5338,12.8,4.632,13.897,0.926,0.28744382226747145,0.8623935228953047,0.05746394201633821,huge_err_hi
NGC5347,NGC5347,27.3,3.582,10.745,0.716,0.47409206603156134,1.4221438440840666,0.0947654716020653,huge_err_hi
NGC5375,NGC5375,41.92,6.613,19.838,1.323,1.3439844859767776,4.031750224226117,0.26887819067704166,huge_err_hi
NGC5383,NGC5383,37.64,6.089,18.268,1.218,1.1111432380675346,3.333612197900759,0.22226514435313793,huge_err_hi
NGC5473,NGC5473,33.4,4.404,13.211,0.881,0.7131292269653117,2.13922575327855,0.14265823091653942,huge_err_hi
NGC5507,NGC5507,34.3,3.205,9.615,0.641,0.5329624512156692,1.5988873536470074,0.10659249024313383,huge_err_hi
NGC5534,NGC5534,31.8,3.803,11.409,0.761,0.5863108137589994,1.7589324412769982,0.11732383099410953,huge_err_hi
NGC5602,NGC5602,30.833,3.853,11.56,0.771,0.5759559256296513,1.7280172593508354,0.11525097811068287,huge_err_hi
NGC5636,NGC5636,23.111,4.01,12.03,0.802,0.4493011902164691,1.3479035706494071,0.08986023804329382,huge_err_hi
NGC5701,NGC5701,26.1,9.705,29.114,1.941,1.2280343247763799,3.6839764380772304,0.24560686495527598,huge_err_hi
NGC5728,NGC5728,30.567,10.149,30.447,2.03,1.5040093229583302,4.512027968874991,0.3008315031634063,huge_err_hi
NGC5750,NGC5750,33.633,5.632,16.896,1.126,0.9183383317576903,2.755014995273071,0.18360244345865753,huge_err_hi
NGC5757,NGC5757,39.5,4.112,12.336,0.822,0.7874530337187599,2.3623591011562795,0.1574140062540906,huge_err_hi
NGC5762,NGC5762,43.8,4.397,13.19,0.879,0.9336950039997092,2.8008726638062686,0.18665406152279834,huge_err_hi
NGC5770,NGC5770,22.4,3.45,10.35,0.69,0.3746636608246673,1.1239909824740018,0.07493273216493346,huge_err_hi
NGC5821,NGC5821,12.319,11.593,34.778,2.319,0.692381969796136,2.0770861852471336,0.13850028361573702,huge_err_hi
NGC5913,NGC5913,32.0,4.843,14.53,0.969,0.7513441446682665,2.254187574237025,0.15033088502654351,huge_err_hi
NGC5930,NGC5930,34.96,3.529,10.586,0.706,0.5981326933798754,1.79422858943592,0.11966043681671637,huge_err_hi
NGC5953,NGC5953,27.06,3.486,10.457,0.697,0.4573299396407534,1.3718586284633845,0.09143974983637553,huge_err_hi
NGC5957,NGC5957,25.375,7.36,22.08,1.472,0.9054371803262794,2.716311540978838,0.18108743606525587,huge_err_hi
NGC6014,NGC6014,34.597,3.649,10.946,0.73,0.6120498048626767,1.8359816837563327,0.12244350713887474,huge_err_hi
NGC6278,NGC6278,39.15,3.461,10.382,0.692,0.6569129517853247,1.9705490509781107,0.13134462948149225,huge_err_hi
NGC6902,NGC6902,38.5,9.113,27.34,1.823,1.7009696264514096,5.103095532446125,0.34026858652704045,huge_err_hi
NGC7079,NGC7079,31.8,3.738,11.214,0.748,0.5762897243836812,1.7288691731510437,0.1153196131190459,huge_err_hi
NGC7098,NGC7098,29.1,11.222,33.666,2.244,1.583207039488037,4.749621118464111,0.3165849756381354,huge_err_hi
NGC7163,NGC7163,29.789,4.395,13.184,0.879,0.634730346883863,1.9040466196397838,0.1269460693767726,huge_err_hi
NGC7179,NGC7179,45.9,3.527,10.582,0.705,0.7848607374009163,2.3548047414733477,0.15688313577194385,huge_err_hi
NGC7180,NGC7180,18.562,2.18,6.54,0.436,0.19618044748260732,0.588541342447822,0.039236089496521465,huge_err_hi
NGC7219,NGC7219,41.167,4.104,12.313,0.821,0.8190888808086685,2.4574662254866313,0.16385769277385887,huge_err_hi
NGC7280,NGC7280,23.06,4.194,12.582,0.839,0.4688805177805251,1.4066415533415753,0.09379846314207452,huge_err_hi
NGC7378,NGC7378,33.483,3.005,9.015,0.601,0.4878016871500254,1.4634050614500764,0.09756033743000508,huge_err_hi
NGC7513,NGC7513,19.85,7.221,21.664,1.444,0.6949160061086467,2.0848442537512426,0.13896395413666884,huge_err_hi
NGC7531,NGC7531,22.788,5.521,16.564,1.104,0.6099558723001963,1.8299780961384626,0.12196907861246456,huge_err_hi
NGC7582,NGC7582,20.625,10.168,30.505,2.034,1.0167260562868154,3.050278161588248,0.20338520834848373,huge_err_hi
NGC7690,NGC7690,22.68,3.374,10.123,0.675,0.3709903279761472,1.1130809395680314,0.07422005672314741,huge_err_hi
NGC7724,NGC7724,37.625,3.389,10.166,0.678,0.6181907982449761,1.854389983758757,0.12367464184422952,huge_err_hi
